EmployeeNumber,Business_UNIT,Gender,JobLevel,JobRole,Department,Age,Hire_Year,Attrition_YEAR,Attrition,Year Last Promoted,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,PerformanceRating,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Year Last Promoted_ORIG,YearsWithCurrManager
530,BU3,Male,1,Associate,Research & Development,31,2014,,No,2016,2218,98,329,16193,12,3,Travel_Rarely,1,2,Life Sciences,1,4,2,1,Married,1,Y,No,3,80,1,4,3,3,4,2,3,2007,2
531,BU3,Male,5,Manager,Research & Development,39,1997,,No,2018,19197,52,1218,8213,14,3,Travel_Frequently,1,1,Life Sciences,1,2,3,3,Divorced,1,Y,Yes,3,80,1,21,3,3,21,8,1,2005,6
532,BU3,Female,4,Sales Executive,Sales,56,2011,,No,2012,13212,86,906,18256,11,3,Travel_Frequently,6,3,Life Sciences,1,3,4,1,Married,9,Y,No,4,80,3,36,0,2,7,7,7,2008,7
533,BU3,Female,2,Sales Executive,Sales,30,2013,,No,2015,6577,83,1082,19558,11,3,Travel_Rarely,12,3,Technical Degree,1,2,3,3,Single,0,Y,No,2,80,0,6,6,3,5,4,4,2008,4
534,BU3,Male,3,Sales Executive,Sales,41,2008,,No,,8392,49,645,19566,16,3,Travel_Rarely,1,3,Marketing,1,2,4,1,Married,1,Y,No,3,80,1,10,2,3,10,7,0,,7
536,BU3,Male,2,Associate,Research & Development,28,2008,,No,2018,4558,79,1300,13535,12,3,Travel_Rarely,17,2,Medical,1,3,3,1,Divorced,1,Y,No,4,80,1,10,2,3,10,0,1,2007,8
538,BU3,Male,1,Associate,Research & Development,25,2016,2018,Yes,,4031,91,688,9396,13,3,Travel_Rarely,3,3,Medical,1,1,3,1,Married,5,Y,No,3,80,1,6,5,3,2,2,0,,2
543,BU3,Male,3,Associate Director,Research & Development,52,2013,,No,,7969,39,319,19609,14,3,Travel_Rarely,3,3,Medical,1,4,2,3,Married,2,Y,Yes,3,80,0,28,4,3,5,4,0,,4
544,BU3,Male,1,Data Scientist,Research & Development,45,2016,,No,,2654,69,192,9655,21,4,Travel_Rarely,10,2,Life Sciences,1,1,3,4,Married,3,Y,No,4,80,2,8,3,2,2,2,0,,2
546,BU3,Female,4,Manager,Research & Development,52,2013,,No,2018,16555,30,1490,10310,13,3,Travel_Rarely,4,2,Life Sciences,1,4,3,4,Married,2,Y,No,4,80,0,31,2,1,5,2,1,2006,4
547,BU3,Female,2,Data Scientist,Research & Development,42,2013,,No,,4556,92,532,12932,11,3,Travel_Frequently,29,2,Life Sciences,1,1,3,3,Divorced,2,Y,No,2,80,1,19,3,3,5,4,0,,2
548,BU3,Female,2,Associate Director,Research & Development,30,2013,,No,,6091,43,317,24793,20,4,Travel_Rarely,2,3,Life Sciences,1,3,1,4,Single,2,Y,No,3,80,0,11,2,3,5,4,0,,2
549,BU3,Female,5,Manager,Research & Development,60,1989,,No,2008,19566,41,422,3854,11,3,Travel_Rarely,7,3,Life Sciences,1,1,3,1,Married,5,Y,No,4,80,0,33,5,1,29,8,11,2008,10
550,BU3,Female,2,Associate Director,Research & Development,46,2008,,No,,4810,87,1485,26314,14,3,Travel_Rarely,18,3,Medical,1,3,3,3,Divorced,2,Y,No,3,80,1,19,5,2,10,7,0,,8
551,BU3,Female,2,Senior Associate,Research & Development,42,2012,,No,,4523,88,1368,4386,11,3,Travel_Frequently,28,4,Technical Degree,1,4,2,4,Married,0,Y,No,4,80,3,7,4,4,6,5,0,,4
554,BU3,Female,1,Sales Representative,Sales,24,2013,2017,Yes,2018,3202,62,1448,21972,16,3,Travel_Rarely,1,1,Technical Degree,1,1,3,2,Single,1,Y,Yes,2,80,0,6,4,3,5,3,1,2003,4
555,BU3,Female,1,Sales Representative,Sales,34,2016,2016,Yes,2018,2351,33,296,12253,16,3,Travel_Frequently,6,2,Marketing,1,4,1,3,Divorced,0,Y,No,4,80,1,3,3,2,2,2,1,2003,0
556,BU3,Male,1,Associate,Research & Development,38,2017,,No,,1702,42,1490,12106,23,4,Travel_Frequently,2,2,Life Sciences,1,4,3,4,Married,1,Y,Yes,3,80,1,1,3,3,1,0,0,,0
558,BU3,Female,5,Manager,Sales,40,1998,,No,2018,18041,79,1398,13022,14,3,Travel_Rarely,2,4,Life Sciences,1,3,3,3,Married,0,Y,No,4,80,0,21,2,3,20,15,1,2005,12
560,BU3,Female,1,Data Scientist,Research & Development,26,2015,,No,,2886,90,1349,3032,22,4,Travel_Rarely,23,3,Life Sciences,1,1,3,4,Divorced,1,Y,No,2,80,2,3,3,1,3,2,0,,2
562,BU3,Male,1,Associate,Research & Development,30,2013,,No,2018,2097,53,1400,16734,15,3,Non-Travel,3,3,Life Sciences,1,3,3,4,Married,4,Y,No,3,80,1,9,3,1,5,3,1,2004,4
564,BU3,Male,3,Director,Research & Development,29,2008,,No,,11935,93,986,21526,18,3,Travel_Rarely,3,4,Medical,1,2,2,3,Married,1,Y,No,3,80,0,10,2,3,10,2,0,,7
565,BU3,Female,1,Data Scientist,Research & Development,29,2016,2015,Yes,2018,2546,71,408,18300,16,3,Travel_Rarely,25,5,Technical Degree,1,3,2,2,Married,5,Y,No,2,80,0,6,2,4,2,2,1,2003,1
566,BU3,Male,1,Human Resources,Human Resources,19,2017,2018,Yes,,2564,52,489,18437,12,3,Travel_Rarely,2,2,Technical Degree,1,1,2,4,Single,1,Y,No,3,80,0,1,3,4,1,0,0,,0
567,BU3,Female,3,Sales Executive,Sales,30,2009,,No,2012,8412,69,1398,2890,11,3,Non-Travel,22,4,Other,1,3,3,1,Married,0,Y,No,3,80,0,10,3,3,9,8,7,2008,8
568,BU3,Male,4,Manager,Sales,57,2017,,No,,14118,56,210,22102,12,3,Travel_Rarely,29,3,Marketing,1,1,2,4,Divorced,3,Y,No,3,80,1,32,3,2,1,0,0,,0
569,BU3,Male,4,Manager,Research & Development,50,1991,,No,2004,17046,88,1099,9314,15,3,Travel_Rarely,29,4,Life Sciences,1,2,2,3,Married,0,Y,No,2,80,1,28,2,3,27,10,15,2004,7
571,BU3,Female,1,Associate,Research & Development,30,2007,,No,2013,2564,49,1116,7181,14,3,Non-Travel,2,3,Medical,1,3,3,4,Single,0,Y,No,3,80,0,12,2,2,11,7,6,2005,7
573,BU3,Female,3,Sales Executive,Sales,60,2000,,No,2006,10266,80,1499,2845,19,3,Travel_Frequently,28,3,Marketing,1,3,2,1,Married,4,Y,No,4,80,0,22,5,4,18,13,13,2000,11
574,BU3,Female,2,Associate Director,Research & Development,47,2013,,No,,5070,65,983,7389,13,3,Travel_Rarely,2,2,Medical,1,1,3,4,Divorced,5,Y,No,3,80,3,20,2,3,5,0,0,,4
575,BU3,Male,4,Director,Research & Development,46,2015,,No,,17861,51,1009,2288,13,3,Travel_Rarely,2,3,Life Sciences,1,1,3,3,Married,6,Y,No,3,80,0,26,2,1,3,2,0,,1
577,BU3,Male,1,Associate,Research & Development,35,2013,,No,2015,4230,46,144,19225,15,3,Travel_Rarely,22,3,Life Sciences,1,4,1,3,Single,0,Y,No,3,80,0,6,2,3,5,4,4,2004,3
578,BU3,Female,2,Associate,Research & Development,54,2017,,No,,3780,42,548,23428,11,3,Travel_Rarely,8,4,Life Sciences,1,3,3,3,Single,7,Y,No,3,80,0,19,3,3,1,0,0,,0
579,BU3,Male,1,Data Scientist,Research & Development,34,2011,,No,2014,2768,62,1303,8416,12,3,Travel_Rarely,2,4,Life Sciences,1,4,2,3,Divorced,3,Y,No,3,80,1,14,3,3,7,3,5,2007,7
580,BU3,Female,3,Sales Executive,Sales,46,2015,,No,2018,9071,94,1125,11563,19,3,Travel_Rarely,10,3,Marketing,1,3,2,4,Married,2,Y,Yes,3,80,1,15,3,3,3,2,1,2000,2
581,BU3,Male,3,Associate Director,Research & Development,31,2005,,No,,10648,33,1274,14394,25,4,Travel_Rarely,9,1,Life Sciences,1,3,3,2,Divorced,1,Y,No,4,80,1,13,6,4,13,8,0,,8
582,BU3,Male,3,Manager,Research & Development,33,2011,2017,Yes,2012,13610,56,1277,24619,12,3,Travel_Rarely,15,1,Medical,1,2,3,3,Married,7,Y,Yes,4,80,0,15,2,4,7,6,7,2007,7
584,BU3,Male,1,Associate,Research & Development,33,2014,2016,Yes,2018,3408,38,587,6705,13,3,Travel_Rarely,10,1,Medical,1,1,1,4,Divorced,7,Y,No,1,80,3,8,2,3,4,3,1,2006,3
585,BU3,Male,1,Sales Representative,Sales,30,2015,,No,2018,2983,57,413,18398,14,3,Travel_Rarely,7,1,Marketing,1,4,3,2,Single,0,Y,No,1,80,0,4,3,3,3,2,1,2005,2
586,BU3,Male,3,Senior Associate,Research & Development,35,2010,,No,,7632,72,1276,14295,12,3,Travel_Rarely,16,3,Life Sciences,1,4,3,3,Married,4,Y,Yes,3,80,0,10,2,3,8,7,0,,0
587,BU3,Male,3,Senior Associate,Research & Development,31,2017,2015,Yes,,9824,66,534,22908,12,3,Travel_Frequently,20,3,Life Sciences,1,1,3,3,Married,3,Y,No,1,80,0,12,2,3,1,0,0,,0
590,BU3,Female,3,Human Resources,Human Resources,34,2015,2018,Yes,,9950,43,988,11533,15,3,Travel_Frequently,23,3,Human Resources,1,2,3,1,Divorced,9,Y,Yes,3,80,3,11,2,3,3,2,0,,2
591,BU3,Male,1,Associate,Research & Development,42,2016,,No,2017,2093,97,1474,9260,17,3,Travel_Frequently,5,2,Other,1,2,3,3,Married,4,Y,No,4,80,1,8,4,3,2,2,2,2002,0
592,BU3,Male,3,Sales Executive,Sales,36,2008,,No,2010,9980,32,635,15318,14,3,Non-Travel,10,4,Medical,1,2,3,4,Single,1,Y,No,4,80,0,10,3,2,10,3,9,2005,7
593,BU3,Male,1,Associate,Research & Development,22,2016,2017,Yes,2018,3894,99,1368,9129,16,3,Travel_Frequently,4,1,Technical Degree,1,3,2,3,Single,5,Y,No,3,80,0,4,3,3,2,2,1,2003,2
595,BU3,Female,2,Sales Executive,Sales,48,2009,,No,2013,4051,37,163,19658,14,3,Travel_Rarely,2,5,Marketing,1,2,3,4,Married,2,Y,No,1,80,1,14,2,3,9,7,6,2005,7
597,BU3,Female,4,Manager,Sales,55,2008,,No,2012,16835,83,1117,9873,23,4,Travel_Rarely,18,5,Life Sciences,1,1,3,2,Single,3,Y,No,4,80,0,37,2,3,10,9,7,1996,7
599,BU3,Male,2,Sales Executive,Sales,41,2004,,No,2018,6230,56,267,13430,14,3,Non-Travel,10,2,Life Sciences,1,4,3,4,Single,7,Y,No,4,80,0,16,3,3,14,3,1,2005,10
600,BU3,Male,2,Sales Executive,Sales,35,2007,,No,2013,4717,85,619,18659,11,3,Travel_Rarely,1,3,Marketing,1,2,3,3,Married,9,Y,No,3,80,0,15,2,3,11,9,6,2008,9
601,BU3,Female,4,Associate Director,Research & Development,40,1998,,No,2014,13237,75,302,20364,15,3,Travel_Rarely,6,3,Life Sciences,1,2,3,3,Single,7,Y,No,3,80,0,22,3,3,20,6,5,2004,13
602,BU3,Female,1,Associate,Research & Development,39,2010,,No,,3755,48,443,17872,11,3,Travel_Frequently,8,1,Life Sciences,1,3,3,3,Married,1,Y,No,1,80,1,8,3,3,8,3,0,,7
604,BU3,Male,2,Sales Executive,Sales,31,2012,,No,,6582,77,828,8346,13,3,Travel_Rarely,2,1,Life Sciences,1,2,3,4,Single,4,Y,Yes,3,80,0,10,2,4,6,5,0,,5
605,BU3,Male,3,Associate Director,Research & Development,42,2008,,No,2014,7406,56,319,6950,21,4,Travel_Rarely,24,3,Medical,1,4,3,1,Married,1,Y,Yes,4,80,1,10,5,2,10,9,5,1998,8
606,BU3,Male,2,Sales Executive,Sales,45,2010,,No,2016,4805,61,561,16177,19,3,Travel_Rarely,2,3,Other,1,4,3,2,Married,0,Y,No,2,80,1,9,3,4,8,7,3,2000,7
608,BU3,Female,1,Human Resources,Human Resources,26,2011,2016,Yes,2018,2741,58,426,22808,11,3,Travel_Frequently,17,4,Life Sciences,1,2,3,3,Divorced,0,Y,Yes,2,80,1,8,2,2,7,7,1,2008,0
611,BU3,Male,2,Associate Director,Research & Development,29,2015,,No,2018,4262,34,232,22645,12,3,Travel_Rarely,19,3,Technical Degree,1,4,3,4,Divorced,4,Y,No,2,80,2,8,2,4,3,2,1,2007,2
612,BU3,Female,4,Director,Research & Development,33,2012,,No,,16184,95,922,22578,19,3,Travel_Rarely,1,5,Medical,1,1,4,3,Divorced,4,Y,No,3,80,1,10,2,3,6,1,0,,5
613,BU3,Male,3,Manager,Sales,31,2013,,No,,11557,44,688,25291,21,4,Travel_Rarely,7,3,Life Sciences,1,3,2,4,Divorced,9,Y,No,3,80,1,10,3,2,5,4,0,,1
614,BU3,Male,1,Sales Representative,Sales,18,2018,2015,Yes,,1878,69,1306,8059,14,3,Travel_Frequently,5,3,Marketing,1,2,3,2,Single,1,Y,Yes,4,80,0,0,3,3,0,0,0,,0
615,BU3,Male,3,Sales Executive,Sales,40,2017,,No,,10932,58,1094,11373,15,3,Non-Travel,28,3,Other,1,3,1,1,Divorced,3,Y,No,3,80,1,20,2,3,1,0,0,,1
616,BU3,Female,2,Senior Associate,Research & Development,41,2010,,No,,6811,62,509,2112,17,3,Non-Travel,2,4,Other,1,1,2,3,Single,2,Y,Yes,1,80,0,10,3,3,8,7,0,,7
618,BU3,Male,2,Sales Executive,Sales,26,2018,,No,,4306,45,775,4267,12,3,Travel_Rarely,29,2,Medical,1,1,3,3,Divorced,5,Y,No,1,80,2,8,5,3,0,0,0,,0
620,BU3,Female,2,Sales Executive,Sales,35,2013,,No,,4859,80,195,6698,16,3,Travel_Rarely,1,3,Medical,1,1,3,3,Single,1,Y,No,4,80,0,5,3,3,5,4,0,,3
621,BU3,Male,2,Sales Executive,Sales,34,2008,,No,2014,5337,74,258,19921,12,3,Travel_Rarely,21,4,Life Sciences,1,4,4,4,Single,1,Y,No,4,80,0,10,3,3,10,7,5,2007,7
622,BU3,Male,1,Associate,Research & Development,26,2017,2018,Yes,,2340,66,471,23213,18,3,Travel_Rarely,24,3,Technical Degree,1,3,1,4,Single,1,Y,Yes,2,80,0,1,3,1,1,0,0,,0
623,BU3,Female,3,Associate Director,Research & Development,37,2012,,No,2018,7491,59,799,23848,17,3,Travel_Rarely,1,3,Technical Degree,1,2,3,4,Single,4,Y,No,4,80,0,12,3,4,6,5,1,2002,2
624,BU3,Female,3,Senior Associate,Research & Development,46,2016,,No,2018,10527,86,1034,8984,11,3,Travel_Frequently,18,1,Medical,1,1,3,3,Married,5,Y,No,4,80,0,28,3,2,2,2,1,2008,2
625,BU3,Female,4,Manager,Sales,41,2000,,No,2008,16595,91,1276,5626,16,3,Travel_Rarely,2,5,Life Sciences,1,2,3,1,Married,7,Y,No,2,80,1,22,2,3,18,16,11,2003,8
626,BU3,Male,3,Sales Executive,Sales,37,2009,,No,2012,8834,69,142,24666,13,3,Non-Travel,9,4,Medical,1,1,3,2,Divorced,1,Y,No,4,80,1,9,6,3,9,5,7,2006,7
630,BU3,Male,2,Data Scientist,Research & Development,52,2008,,No,2013,5577,78,956,22087,12,3,Travel_Rarely,6,2,Technical Degree,1,4,3,1,Divorced,3,Y,Yes,2,80,2,18,3,3,10,9,6,2007,9
631,BU3,Male,2,Sales Executive,Sales,32,2014,2017,Yes,2018,4707,60,1474,23914,12,3,Non-Travel,11,4,Other,1,4,4,3,Married,8,Y,No,4,80,0,6,2,3,4,2,1,2007,2
632,BU3,Male,1,Sales Representative,Sales,24,2016,,No,2017,2400,38,535,5530,13,3,Travel_Frequently,24,3,Medical,1,4,3,4,Married,0,Y,No,3,80,2,3,3,3,2,2,2,2006,1
634,BU3,Female,2,Senior Associate,Research & Development,38,2017,,No,,9824,76,1495,22174,19,3,Travel_Rarely,10,3,Medical,1,3,3,3,Married,3,Y,No,3,80,1,18,4,3,1,0,0,,0
635,BU3,Female,2,Associate Director,Research & Development,37,2012,,No,2015,6447,65,446,15701,12,3,Travel_Rarely,1,4,Life Sciences,1,2,3,2,Married,6,Y,No,2,80,1,8,2,2,6,5,4,2007,3
638,BU3,Male,5,Director,Research & Development,49,1987,,No,,19502,58,1245,2125,17,3,Travel_Rarely,18,4,Life Sciences,1,4,2,3,Divorced,1,Y,Yes,3,80,1,31,5,3,31,9,0,,9
639,BU3,Male,1,Data Scientist,Research & Development,24,2012,,No,2018,2725,89,691,21630,11,3,Travel_Rarely,23,3,Medical,1,2,4,4,Married,1,Y,Yes,2,80,2,6,3,3,6,5,1,2008,4
641,BU3,Male,2,Sales Executive,Sales,26,2013,,No,2018,6272,66,703,7428,20,4,Travel_Rarely,28,2,Marketing,1,1,3,2,Married,1,Y,No,4,80,2,6,5,4,5,3,1,1999,4
643,BU3,Male,1,Associate,Research & Development,24,2017,,No,,2127,94,823,9100,21,4,Travel_Rarely,17,2,Other,1,4,2,2,Married,1,Y,No,4,80,1,1,2,3,1,0,0,,0
644,BU3,Male,5,Manager,Human Resources,50,1986,,No,2009,18200,99,1246,7999,11,3,Travel_Frequently,3,3,Medical,1,1,3,2,Married,1,Y,No,3,80,1,32,2,3,32,5,10,2008,7
645,BU3,Male,1,Sales Representative,Sales,25,2011,,No,,2096,40,622,26376,11,3,Travel_Rarely,13,1,Medical,1,2,3,3,Married,1,Y,No,3,80,0,7,1,3,7,4,0,,6
647,BU3,Female,1,Associate,Research & Development,24,2012,2016,Yes,2018,2886,55,1287,14168,16,3,Travel_Frequently,7,3,Life Sciences,1,1,3,3,Married,1,Y,Yes,4,80,1,6,4,3,6,3,1,2003,2
648,BU3,Male,1,Sales Representative,Sales,30,2017,2015,Yes,,2033,74,448,14470,18,3,Travel_Frequently,12,4,Life Sciences,1,2,2,1,Married,1,Y,No,3,80,1,1,2,4,1,0,0,,0
649,BU3,Male,1,Data Scientist,Research & Development,34,2012,,No,2018,3622,83,254,22794,13,3,Travel_Rarely,1,2,Life Sciences,1,2,2,4,Married,1,Y,Yes,4,80,1,6,3,3,6,5,1,2006,3
650,BU3,Male,2,Sales Executive,Sales,31,2015,2018,Yes,2018,4233,46,1365,11512,17,3,Travel_Rarely,13,4,Medical,1,2,3,1,Divorced,2,Y,No,3,80,0,9,2,1,3,1,1,2002,2
652,BU3,Male,2,Associate,Research & Development,35,2015,,No,,3681,54,538,14004,14,3,Travel_Rarely,25,2,Other,1,1,2,4,Single,4,Y,No,4,80,0,9,3,3,3,2,0,,2
653,BU3,Male,2,Sales Executive,Sales,31,2011,,No,2014,5460,66,525,6219,22,4,Travel_Rarely,6,4,Medical,1,1,4,4,Divorced,4,Y,No,4,80,2,13,4,4,7,7,5,1997,7
655,BU3,Female,1,Data Scientist,Research & Development,27,2013,,No,,2187,66,798,5013,12,3,Travel_Rarely,6,4,Medical,1,1,2,3,Divorced,0,Y,No,3,80,2,6,5,2,5,3,0,,3
656,BU3,Male,2,Sales Executive,Sales,37,2015,,No,2018,9602,75,558,3010,11,3,Travel_Rarely,2,3,Marketing,1,4,3,3,Married,4,Y,Yes,3,80,1,17,3,2,3,0,1,2008,0
657,BU3,Female,1,Data Scientist,Research & Development,20,2017,,No,,2836,83,959,11757,13,3,Travel_Rarely,1,3,Life Sciences,1,4,2,2,Single,1,Y,No,4,80,0,1,0,4,1,0,0,,0
659,BU3,Female,2,Senior Associate,Research & Development,42,2008,,No,2017,4089,81,622,5718,13,3,Travel_Rarely,2,4,Life Sciences,1,3,3,4,Married,1,Y,No,2,80,2,10,4,3,10,2,2,2006,2
661,BU3,Male,4,Director,Research & Development,43,2017,,No,,16627,50,782,2671,14,3,Travel_Rarely,6,4,Other,1,2,2,4,Divorced,4,Y,Yes,3,80,1,21,3,2,1,0,0,,0
662,BU3,Female,1,Data Scientist,Research & Development,38,2018,,No,,2619,43,362,14561,17,3,Travel_Rarely,1,1,Life Sciences,1,3,3,1,Single,3,Y,No,4,80,0,8,3,2,0,0,0,,0
663,BU3,Male,2,Associate,Research & Development,43,2010,,No,2015,5679,72,1001,19627,13,3,Travel_Frequently,9,5,Medical,1,4,3,3,Divorced,3,Y,Yes,2,80,1,10,3,3,8,7,4,2006,7
664,BU3,Female,4,Manager,Research & Development,48,2015,,No,,15402,40,1236,17997,11,3,Travel_Rarely,1,4,Life Sciences,1,4,2,1,Married,7,Y,No,1,80,1,21,3,1,3,2,0,,2
665,BU3,Female,2,Human Resources,Human Resources,44,2016,,No,,5985,50,1112,26894,11,3,Travel_Rarely,1,4,Life Sciences,1,1,2,3,Single,4,Y,No,2,80,0,10,1,4,2,2,0,,2
666,BU3,Female,1,Sales Representative,Sales,34,2010,,No,,2579,31,204,2912,18,3,Travel_Rarely,14,3,Technical Degree,1,3,3,3,Divorced,1,Y,Yes,4,80,2,8,3,3,8,2,0,,6
667,BU3,Male,1,Sales Representative,Sales,27,2014,2017,Yes,,3041,85,1420,16346,11,3,Travel_Rarely,2,1,Marketing,1,3,3,1,Divorced,0,Y,No,2,80,1,5,3,3,4,3,0,,2
669,BU3,Male,1,Sales Representative,Sales,21,2015,,No,2018,3447,49,1343,24444,11,3,Travel_Rarely,22,1,Technical Degree,1,3,3,3,Single,1,Y,No,3,80,0,3,2,3,3,2,1,2008,2
671,BU3,Male,5,Manager,Research & Development,44,2016,,No,,19513,35,1315,9358,12,3,Travel_Rarely,3,4,Other,1,4,3,4,Married,4,Y,Yes,1,80,1,26,2,4,2,2,0,,1
675,BU3,Male,1,Data Scientist,Research & Development,22,2016,,No,2017,2773,69,604,12145,20,4,Travel_Rarely,6,1,Medical,1,1,3,3,Married,0,Y,No,4,80,0,3,3,3,2,2,2,1999,2
677,BU3,Male,2,Sales Executive,Sales,33,2013,,No,2018,7104,39,1216,20431,12,3,Travel_Rarely,8,4,Marketing,1,3,3,3,Divorced,0,Y,No,4,80,0,6,3,3,5,0,1,2007,2
679,BU3,Female,2,Data Scientist,Research & Development,32,2012,,No,,6322,92,646,18089,12,3,Travel_Rarely,9,4,Life Sciences,1,1,3,4,Married,1,Y,Yes,4,80,1,6,2,2,6,4,0,,5
680,BU3,Female,1,Data Scientist,Research & Development,30,2017,,No,,2083,71,160,22653,20,4,Travel_Frequently,3,3,Medical,1,3,3,3,Divorced,1,Y,No,3,80,1,1,2,3,1,0,0,,0
682,BU3,Female,2,Sales Executive,Sales,53,2004,,No,2011,8381,34,238,7507,20,4,Travel_Rarely,1,1,Medical,1,4,3,1,Single,7,Y,No,4,80,0,18,2,4,14,7,8,1999,10
683,BU3,Male,1,Data Scientist,Research & Development,34,2008,,No,2011,2691,42,1397,7660,12,3,Travel_Rarely,1,5,Life Sciences,1,2,3,4,Married,1,Y,No,4,80,1,10,4,2,10,9,8,2007,8
684,BU3,Female,2,Sales Executive,Sales,45,2017,2016,Yes,,4286,100,306,5630,14,3,Travel_Frequently,26,4,Life Sciences,1,1,3,1,Married,2,Y,No,4,80,2,5,4,3,1,1,0,,0
686,BU3,Female,1,Associate,Research & Development,26,2015,,No,,2659,71,991,17759,13,3,Travel_Rarely,6,3,Life Sciences,1,3,3,4,Married,1,Y,Yes,3,80,1,3,2,3,3,2,0,,2
689,BU3,Male,3,Associate Director,Research & Development,37,2008,,No,2012,9434,36,482,9606,15,3,Travel_Rarely,3,3,Other,1,3,3,3,Married,1,Y,No,3,80,1,10,2,3,10,7,7,2004,8
690,BU3,Female,2,Sales Executive,Sales,29,2012,,No,2018,5561,62,1176,3487,14,3,Travel_Rarely,3,2,Medical,1,2,3,3,Married,1,Y,No,1,80,1,6,5,2,6,0,1,2005,2
691,BU3,Male,2,Data Scientist,Research & Development,35,2001,,No,2008,6646,82,1017,19368,13,3,Travel_Rarely,6,4,Life Sciences,1,2,1,4,Single,1,Y,No,2,80,0,17,3,3,17,11,11,2006,8
692,BU3,Male,2,Senior Associate,Research & Development,33,2005,,No,2015,7725,30,1296,5335,23,4,Travel_Frequently,6,3,Life Sciences,1,3,3,4,Divorced,3,Y,No,3,80,1,15,2,1,13,11,4,1996,7
698,BU3,Male,3,Human Resources,Human Resources,54,2009,,No,2012,10725,88,397,6729,15,3,Travel_Rarely,19,4,Medical,1,3,3,2,Married,2,Y,No,3,80,1,16,1,4,9,7,7,2004,1
699,BU3,Male,2,Associate Director,Research & Development,36,2015,,No,,8847,48,913,13934,11,3,Travel_Rarely,9,2,Medical,1,2,2,2,Divorced,2,Y,Yes,3,80,1,13,2,3,3,2,0,,2
700,BU3,Male,1,Data Scientist,Research & Development,27,2014,,No,2018,2045,54,1115,15174,13,3,Travel_Rarely,3,4,Medical,1,1,2,4,Single,0,Y,No,4,80,0,5,0,3,4,2,1,2006,1
701,BU3,Male,1,Data Scientist,Research & Development,20,2017,2015,Yes,2018,1009,32,1362,26999,11,3,Travel_Rarely,10,1,Medical,1,4,3,3,Single,1,Y,Yes,4,80,0,1,5,3,1,0,1,2008,1
702,BU3,Male,1,Data Scientist,Research & Development,33,2008,2018,Yes,2010,3348,70,1076,3164,11,3,Travel_Frequently,3,3,Life Sciences,1,1,3,1,Single,1,Y,Yes,1,80,0,10,3,3,10,8,9,2008,7
704,BU3,Male,1,Associate,Research & Development,35,2017,,No,,1281,41,727,16900,18,3,Non-Travel,3,3,Life Sciences,1,3,2,3,Married,1,Y,No,3,80,2,1,3,3,1,0,0,,0
705,BU3,Male,1,Data Scientist,Research & Development,23,2015,,No,,2819,58,885,8544,16,3,Travel_Rarely,4,3,Medical,1,1,4,1,Married,2,Y,No,1,80,1,5,3,4,3,2,0,,2
707,BU3,Male,2,Sales Executive,Sales,25,2015,,No,2018,4851,57,810,15678,22,4,Travel_Rarely,8,3,Life Sciences,1,4,4,2,Married,0,Y,No,3,80,1,4,4,3,3,2,1,1997,2
709,BU3,Female,2,Sales Executive,Sales,38,2011,,No,,4028,46,243,7791,20,4,Travel_Rarely,7,4,Marketing,1,4,2,4,Single,0,Y,No,1,80,0,8,2,3,7,7,0,,5
710,BU3,Male,1,Data Scientist,Research & Development,29,2008,,No,2017,2720,76,806,18959,18,3,Travel_Frequently,1,4,Life Sciences,1,2,1,4,Divorced,1,Y,No,4,80,1,10,5,3,10,7,2,2001,8
712,BU3,Male,2,Sales Executive,Sales,48,2016,,No,2017,8120,56,817,18597,12,3,Travel_Rarely,2,1,Marketing,1,2,4,2,Married,3,Y,No,4,80,0,12,3,3,2,2,2,2007,2
714,BU3,Female,2,Sales Executive,Sales,27,2012,,No,,4647,71,1410,16673,20,4,Travel_Frequently,3,1,Medical,1,4,4,4,Divorced,1,Y,Yes,2,80,2,6,3,3,6,5,0,,4
715,BU3,Male,1,Data Scientist,Research & Development,37,2017,,No,,4680,80,1225,15232,17,3,Travel_Rarely,10,2,Life Sciences,1,4,4,4,Single,3,Y,No,1,80,0,4,2,3,1,0,0,,0
716,BU3,Male,1,Associate,Research & Development,50,1998,,No,2016,3221,74,1207,3297,11,3,Travel_Rarely,28,1,Medical,1,4,4,3,Married,1,Y,Yes,3,80,3,20,3,3,20,8,3,2008,8
717,BU3,Female,3,Senior Associate,Research & Development,34,2010,,No,2012,8621,46,1442,17654,14,3,Travel_Rarely,9,3,Medical,1,4,2,2,Single,1,Y,No,2,80,0,9,3,4,8,7,7,2005,7
720,BU3,Female,2,Sales Executive,Sales,24,2016,2017,Yes,2017,4577,65,693,24785,14,3,Travel_Rarely,3,2,Life Sciences,1,1,3,3,Single,9,Y,No,1,80,0,4,3,3,2,2,2,2005,0
